iter	Passed	Remaining
399	39046	48807
400	39135	48699
401	39226	48593
402	39332	48507
403	39420	48397
404	39517	48298
405	39611	48196
406	39707	48097
407	39810	48006
408	39894	47893
409	39989	47792
410	40089	47698
411	40173	47584
412	40272	47488
413	40367	47388
414	40469	47296
415	40558	47188
416	40658	47093
417	40760	47001
418	40858	46904
419	40953	46803
420	41050	46706
421	41157	46619
422	41246	46511
423	41352	46424
424	41452	46328
425	41559	46242
426	41660	46148
427	41773	46068
428	41894	45995
429	41991	45897
430	42081	45791
431	42174	45689
432	42269	45589
433	42356	45479
434	42448	45375
435	42541	45274
436	42655	45192
437	42753	45096
438	42855	45002
439	42966	44919
440	43072	44830
441	43174	44736
442	43278	44646
443	43376	44548
444	43481	44459
445	43572	44354
446	43672	44258
447	43764	44155
448	43846	44041
449	43949	43949
450	44043	43848
451	44133	43742
452	44218	43632
453	44303	43522
454	44413	43437
455	44499	43328
456	44589	43223
457	44693	43132
458	44801	43044
459	44901	42948
460	44996	42848
461	45093	42750
462	45196	42658
463	45289	42556
464	45385	42457
465	45495	42371
466	45607	42287
467	45712	42195
468	45813	42101
469	45899	41993
470	46003	41901
471	46086	41789
472	46177	41686
473	46260	41575
474	46343	41465
475	46433	41360
476	46541	41272
477	46624	41161
478	46697	41043
479	46796	40947
480	46878	40836
481	46962	40726
482	47145	40703
483	47241	40604
484	47339	40506
485	47425	40399
486	47523	40302
487	47628	40211
488	47719	40108
489	47803	39998
490	47904	39904
491	48005	39809
492	48109	39716
493	48208	39620
494	48301	39519
495	48409	39430
496	48495	39323
497	48587	39220
498	48696	39132
499	48778	39022
500	48873	38923
501	48962	38818
502	49058	38720
503	49142	38612
504	49220	38499
505	49303	38390
506	49390	38285
507	49467	38171
508	49549	38062
509	49652	37969
510	49735	37861
511	49819	37753
512	49908	37650
513	49999	37548
514	50093	37448
515	50199	37357
516	50302	37264
517	50394	37163
518	50475	37054
519	50580	36962
520	50680	36867
521	50764	36760
522	50868	36668
523	50952	36561
524	51044	36460
525	51120	36347
526	51216	36250
527	51310	36150
528	51403	36050
529	51479	35938
530	51572	35838
531	51671	35742
532	51759	35639
533	51839	35530
534	51931	35430
535	52028	35332
536	52118	35230
537	52210	35130
538	52314	35037
539	52404	34936
540	52506	34842
541	52605	34746
542	52713	34656
543	52807	34557
544	52908	34463
545	53007	34367
546	53129	34286
547	53232	34193
548	53333	34098
549	53433	34002
550	53530	33905
551	53626	33808
552	53707	33700
553	53794	33597
554	53886	33497
555	53980	33397
556	54077	33300
557	54163	33197
558	54241	33088
559	54342	32993
560	54446	32900
561	54549	32807
562	54642	32707
563	54747	32615
564	54830	32509
565	54925	32412
566	55024	32315
567	55103	32208
568	55198	32110
569	55283	32006
570	55365	31900
571	55461	31803
572	55556	31705
573	55667	31615
574	55775	31525
575	55871	31427
576	55967	31330
577	56049	31224
578	56149	31129
579	56245	31032
580	56343	30935
581	56433	30834
582	56525	30734
583	56617	30635
584	56720	30541
585	56814	30443
586	56891	30335
587	56977	30232
588	57071	30134
589	57166	30036
590	57271	29944
591	57365	29845
592	57471	29753
593	57579	29662
594	57664	29559
595	57745	29453
596	57831	29351
597	57932	29256
598	58012	29151
599	58109	29054
600	58194	28951
601	58296	28857
602	58382	28755
603	58476	28657
604	58560	28554
605	58648	28453
606	58737	28352
607	58860	28268
608	58957	28171
609	59049	28072
610	59153	27979
611	59236	27876
612	59323	27774
613	59411	27673
614	59501	27574
615	59597	27476
616	59688	27377
617	59773	27275
618	59870	27178
619	59952	27075
620	60050	26979
621	60155	26886
622	60267	26796
623	60366	26700
624	60473	26608
625	60587	26519
626	60678	26419
627	60783	26326
628	60880	26230
629	60977	26133
630	61059	26030
631	61148	25930
632	61257	25838
633	61359	25743
634	61436	25638
635	61531	25541
636	61627	25444
637	61729	25349
638	61833	25255
639	61928	25158
640	62034	25065
641	62128	24967
642	62209	24864
643	62300	24765
644	62392	24666
645	62492	24571
646	62585	24473
647	62692	24380
648	62787	24282
649	62878	24184
650	62971	24086
651	63067	23988
652	63181	23898
653	63287	23805
654	63384	23708
655	63486	23614
656	63573	23513
657	63663	23414
658	63750	23314
659	63840	23214
660	63944	23120
661	64035	23021
662	64130	22924
663	64227	22827
664	64314	22727
665	64415	22632
666	64499	22531
667	64587	22431
668	64680	22333
669	64765	22232
670	64856	22134
671	64944	22034
672	65039	21937
673	65125	21837
674	65206	21735
675	65291	21635
676	65378	21535
677	65475	21438
678	65574	21342
679	65686	21251
680	65777	21153
681	65870	21055
682	65960	20956
683	66058	20860
684	66162	20766
685	66263	20671
686	66371	20578
687	66454	20477
688	66563	20384
689	66649	20284
690	66737	20185
691	66829	20087
692	66918	19988
693	67011	19891
694	67113	19796
695	67205	19698
696	67298	19600
697	67388	19502
