iter	Logloss
0	0.6874679915
1	0.682212731
2	0.6773344937
3	0.672703718
4	0.6683874256
5	0.6643675769
6	0.6606670443
7	0.6571195291
8	0.6539297366
9	0.6508333661
10	0.6479745861
11	0.645306308
12	0.6428139156
13	0.6404422125
14	0.6382145796
15	0.6361065543
16	0.6341215062
17	0.6323095822
18	0.630611513
19	0.6289784128
20	0.6275115806
21	0.6260700173
22	0.6247236495
23	0.6234608926
24	0.6222663394
25	0.6211683143
26	0.6201435001
27	0.6191522638
28	0.6182066255
29	0.6173222667
30	0.6164721612
31	0.615674887
32	0.6149235965
33	0.6142215926
34	0.6135545167
35	0.612920562
36	0.6123232472
37	0.611755671
38	0.611226451
39	0.6107120198
40	0.6101905378
41	0.6097393138
42	0.6092987499
43	0.6089020746
44	0.6085350547
45	0.6081630427
46	0.6078205255
47	0.6075078641
48	0.607182659
49	0.6068797785
50	0.6066035769
51	0.6063220917
52	0.6060705188
53	0.6058371345
54	0.6056063704
55	0.6053590055
56	0.6051521989
57	0.6049382301
58	0.6047291975
59	0.6045491101
60	0.6043642697
61	0.604180803
62	0.6039978926
63	0.6038369234
64	0.6036920692
65	0.6035238667
66	0.6033634006
67	0.6032095234
68	0.603060065
69	0.6029360454
70	0.6028056886
71	0.6026793256
72	0.6025583239
73	0.6024473817
74	0.6022908617
75	0.6021525443
76	0.6020423201
77	0.6019325136
78	0.6018486108
79	0.6017474603
80	0.6015964191
81	0.601487966
82	0.6014005348
83	0.6013016034
84	0.6011905595
85	0.6010991164
86	0.6009672286
87	0.6009031326
88	0.6008317075
89	0.6007573266
90	0.600676155
91	0.6006061039
92	0.6004645504
93	0.6003825179
94	0.6003075718
95	0.60022188
96	0.600167044
97	0.6000436711
98	0.5999746391
99	0.5999037166
100	0.5998451635
101	0.5997847443
102	0.59972607
103	0.5996810337
104	0.5996081666
105	0.599525577
106	0.5994189547
107	0.5993721215
108	0.5993201839
109	0.5992604715
110	0.5992202318
111	0.5991021859
112	0.5990490403
113	0.5989800819
114	0.5989265193
115	0.5988877971
116	0.5987823111
117	0.5987297081
118	0.598627539
119	0.5985623671
120	0.5985004858
121	0.598440134
122	0.5983710231
123	0.5983370147
